"","output_prefix","name","motif_id","cluster","total_tfbs","CD8_Good_mean_score","CD8_Good_bound","CD8_Poor_mean_score","CD8_Poor_bound","CD8_Good_CD8_Poor_change","CD8_Good_CD8_Poor_pvalue","CD8_Good_CD8_Poor_highlighted","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"387","HNF4G_MA0484.3","HNF4G","MA0484.3","C_HNF4G",10602,0.44083,267,0.54133,315,-0.01456,1.13715e-30,"False","Not Significant",29.9441822443047,5,"Capped"
"388","HOXA10_MA0899.2","HOXA10","MA0899.2","C_HOXA10",13755,0.39722,252,0.41769,238,0.12002,7.89564e-115,"True","Up_CD8_Good",114.10261266145,5,"Capped"
"389","HOXA4_MA1496.2","HOXA4","MA1496.2","C_Noto",5325,0.40427,96,0.43546,83,0.10328,1.30113e-88,"True","Up_CD8_Good",87.8856793095398,5,"Capped"
"390","HOXA6_MA1497.2","HOXA6","MA1497.2","C_HOXB7",3916,0.38346,70,0.43096,75,0.08265,3.36484e-67,"False","Up_CD8_Good",66.4730355818915,5,"Capped"
"391","HOXA7_MA1498.3","HOXA7","MA1498.3","C_B-H2",9415,0.3901,220,0.43357,242,0.08861,4.36082e-99,"False","Up_CD8_Good",98.3604318391739,5,"Capped"
"392","HOXA9_MA0594.3","HOXA9","MA0594.3","C_HOXA9",399,0.86349,61,0.93746,60,0.03526,1.3975e-12,"False","Not Significant",11.8546481834415,5,"Capped"
"393","HOXB2_MA0902.3","HOXB2","MA0902.3","C_otp",5499,0.34207,52,0.38696,64,0.08463,6.18798e-78,"False","Up_CD8_Good",77.2084510986417,5,"Capped"
"394","TBX3_MA1566.3","TBX3","MA1566.3","C_TBX4",8882,0.46732,283,0.56226,315,0.00091,0.609575,"False","Not Significant",0.214972852666958,0.214972852666958,"Not Capped"
"395","HOXB3_MA0903.2","HOXB3","MA0903.2","C_otp",5499,0.34207,52,0.38696,64,0.08463,6.18798e-78,"False","Up_CD8_Good",77.2084510986417,5,"Capped"
"396","HOXB4_MA1499.2","HOXB4","MA1499.2","C_Noto",11858,0.38684,210,0.43836,202,0.06606,1.04735e-86,"False","Up_CD8_Good",85.9799081629555,5,"Capped"
"397","HOXB5_MA0904.3","HOXB5","MA0904.3","C_otp",5499,0.34207,52,0.38696,64,0.08463,6.18798e-78,"False","Up_CD8_Good",77.2084510986417,5,"Capped"
"398","HOXB6_MA1500.2","HOXB6","MA1500.2","C_HOXB7",3916,0.38346,70,0.43096,75,0.08265,3.36484e-67,"False","Up_CD8_Good",66.4730355818915,5,"Capped"
"399","HOXB7_MA1501.2","HOXB7","MA1501.2","C_HOXB7",3916,0.38346,70,0.43096,75,0.08265,3.36484e-67,"False","Up_CD8_Good",66.4730355818915,5,"Capped"
"400","HOXB8_MA1502.2","HOXB8","MA1502.2","C_HOXB7",6276,0.41504,172,0.47084,185,0.06717,3.46475e-75,"False","Up_CD8_Good",74.4603280965608,5,"Capped"
"401","HOXB9_MA1503.2","HOXB9","MA1503.2","C_HOXC10",4562,0.45377,132,0.48942,115,0.09414,3.16073e-83,"False","Up_CD8_Good",82.5002126014456,5,"Capped"
"402","HOXC10_MA0905.2","HOXC10","MA0905.2","C_HOXC10",5241,0.42963,127,0.46216,111,0.09935,3.83349e-84,"True","Up_CD8_Good",83.4164056653021,5,"Capped"
